Movie,Score,Poster_URL
The Hobbit: The Battle of the Five Armies,63%,https://posters.movieposterdb.com/14_12/2014/2310332/s_2310332_027ad573.jpg
Get Out,88%,https://posters.movieposterdb.com/22_12/2003/398474/s_get-out-movie-poster_3ab5e8fe.jpg
Wonder Woman,77%,https://posters.movieposterdb.com/05_08/1976/0074074/s_41747_0074074_c41cff46.jpg
Argo,93%,https://posters.movieposterdb.com/12_10/2012/1024648/s_1024648_fc5fb1b0.jpg
Ghostbusters,33%,https://posters.movieposterdb.com/22_12/2009/1142978/s_ghostbusters-movie-poster_a0eafc5c.jpg
The Secret Life of Pets,53%,https://posters.movieposterdb.com/15_06/2016/2709768/s_2709768_b457c70a.jpg
The Terminator,87%,https://posters.movieposterdb.com/22_11/1991/301928/s_the-terminator-movie-poster_c32bbde4.jpg
The Blues Brothers,96%,https://posters.movieposterdb.com/07_10/1980/80455/s_80455_b53379b4.jpg
The Silence of the Lambs,92%,https://posters.movieposterdb.com/12_04/1991/102926/s_102926_642e9c9a.jpg
The Prestige,95%,https://posters.movieposterdb.com/06_11/2006/0482571/s_146373_0482571_5b8813d5.jpg
Midnight Cowboy,97%,https://posters.movieposterdb.com/06_05/1969/0064665/s_113645_0064665_ecb2909a.jpg
Dances with Wolves,85%,https://posters.movieposterdb.com/07_12/1990/99348/s_99348_3a7a4aa1.jpg
Finding Dory,86%,https://posters.movieposterdb.com/20_09/2016/2277860/s_2277860_bccbd1f5.jpg
Django Unchained,95%,https://posters.movieposterdb.com/21_02/2012/1853728/s_1853728_7fb18a9f.jpg
Independence Day,80%,https://posters.movieposterdb.com/22_11/1976/73165/s_independence-day-movie-poster_37e392f6.jpg
Harry Potter and the Order of the Phoenix,76%,https://posters.movieposterdb.com/22_12/2007/944836/s_harry-potter-and-the-order-of-the-phoenix-movie-poster_33fe2717.jpg
The Lost Boys,73%,https://posters.movieposterdb.com/22_11/1978/77045/s_the-lost-boys-movie-poster_19204c12.jpg
Indiana Jones and the Temple of Doom,71%,https://posters.movieposterdb.com/22_12/1985/481113/s_indiana-jones-and-the-temple-of-doom-movie-poster_25dd8cf4.jpg
The Lord of the Rings: The Return of the King,90%,https://posters.movieposterdb.com/22_12/2003/387360/s_the-lord-of-the-rings-the-return-of-the-king-movie-poster_bc7d2c7b.jpg
There Will Be Blood,86%,https://posters.movieposterdb.com/22_05/2007/469494/s_469494_9ecfe778.jpg
Amour,93%,https://posters.movieposterdb.com/07_12/1932/166079/s_166079_cf05abff.jpg
The Hunger Games: Catching Fire,74%,https://posters.movieposterdb.com/13_09/2013/1951264/s_1951264_8fb3bb2c.jpg
The Fugitive,94%,https://posters.movieposterdb.com/21_11/2020/10623550/s_10623550_750f5fe9.jpg
The Shining,90%,https://posters.movieposterdb.com/22_02/1980/81505/s_81505_368efb6e.jpg
Harry Potter and the Prisoner of Azkaban,87%,https://posters.movieposterdb.com/22_12/2004/414084/s_harry-potter-and-the-prisoner-of-azkaban-movie-poster_f5b63610.jpg
La La Land,97%,https://posters.movieposterdb.com/22_10/2009/1433139/s_la-la-land-movie-poster_86f12aa0.jpg
Star Wars: The Force Awakens,60%,https://posters.movieposterdb.com/23_02/2016/5430544/s_lego-star-wars-the-force-awakens-movie-poster_85f0b235.jpg
Shutter Island,91%,https://posters.movieposterdb.com/09_08/2009/1130884/s_1130884_84200ccd.jpg
Zootopia,97%,https://posters.movieposterdb.com/15_11/2016/2948356/s_2948356_40e450c8.jpg
Forrest Gump,98%,https://posters.movieposterdb.com/12_04/1994/109830/s_109830_58524cd6.jpg
Unforgiven,97%,https://posters.movieposterdb.com/10_10/2009/1315063/s_1315063_59394646.jpg
Home Alone,95%,https://posters.movieposterdb.com/21_11/2017/7444776/s_7444776_518a5ea7.jpg
The Dark Knight,96%,https://posters.movieposterdb.com/23_01/2008/1330604/s_the-dark-knight-project-movie-poster_966e0371.jpg
The Matrix Revolutions,47%,https://posters.movieposterdb.com/05_06/2003/0242653/s_21678_0242653_f3864eb0.jpg
Gone Girl,92%,https://posters.movieposterdb.com/14_10/2014/2267998/s_2267998_4abdc3a9.jpg
Oldboy,89%,https://posters.movieposterdb.com/13_09/2013/1321511/s_1321511_39a85178.jpg
City of God,94%,https://posters.movieposterdb.com/12_08/2011/1854518/s_1854518_d6237ad9.jpg
Black Panther,45%,https://posters.movieposterdb.com/22_11/1969/230045/s_black-panther-movie-poster_24876705.jpg
Spider-Man 2,69%,https://posters.movieposterdb.com/22_12/2005/788227/s_spider-man-2-movie-poster_e85e11e4.jpg
Avengers: Endgame,51%,https://posters.movieposterdb.com/20_05/2019/4154796/s_4154796_2542f70b.jpg
Harry Potter and the Half-Blood Prince,69%,https://posters.movieposterdb.com/23_01/2009/1395738/s_harry-potter-and-the-half-blood-prince-movie-poster_39cf9af0.jpg
The Florida Project,67%,https://posters.movieposterdb.com/23_02/2017/5649144/s_the-florida-project-movie-poster_b57b2246.jpg
The Karate Kid,90%,https://posters.movieposterdb.com/22_11/1989/137311/s_the-karate-kid-movie-poster_b081bf69.jpg
The Twilight Saga: Eclipse,22%,https://posters.movieposterdb.com/10_03/2010/1325004/s_1325004_463ecff4.jpg
