Movie,Score,Poster_URL
The Sixth Sense,92%,https://posters.movieposterdb.com/22_11/1972/68132/s_the-sixth-sense-movie-poster_9adf47ff.jpg
Raging Bull,91%,https://posters.movieposterdb.com/09_11/1980/81398/s_81398_d9c7bfaa.jpg
The Green Mile,91%,https://posters.movieposterdb.com/05_07/1999/0120689/s_34970_0120689_e3f4a87d.jpg
Terminator 2: Judgment Day,91%,https://posters.movieposterdb.com/22_10/1991/244839/s_terminator-2-judgment-day-movie-poster_a1156ba8.jpg
Mrs. Doubtfire,90%,https://posters.movieposterdb.com/09_08/1993/107614/s_107614_6a2511a2.jpg
Jurassic Park,90%,https://posters.movieposterdb.com/22_12/1993/478182/s_jurassic-park-movie-poster_67ec4606.jpg
The Karate Kid,90%,https://posters.movieposterdb.com/22_11/1989/137311/s_the-karate-kid-movie-poster_b081bf69.jpg
The Lord of the Rings: The Return of the King,90%,https://posters.movieposterdb.com/22_12/2003/387360/s_the-lord-of-the-rings-the-return-of-the-king-movie-poster_bc7d2c7b.jpg
The Shining,90%,https://posters.movieposterdb.com/22_02/1980/81505/s_81505_368efb6e.jpg
12 Years a Slave,90%,https://posters.movieposterdb.com/13_07/2014/2024544/s_2024544_c19864c8.jpg
Indiana Jones and the Last Crusade,90%,https://posters.movieposterdb.com/22_11/1989/251138/s_indiana-jones-and-the-last-crusade-movie-poster_0c888235.jpg
Die Hard,90%,https://posters.movieposterdb.com/22_11/1992/301197/s_die-hard-movie-poster_d05bc36f.jpg
Ghost,89%,https://posters.movieposterdb.com/22_05/2013/3408866/s_3408866_83706e6e.jpg
Rain Man,89%,https://posters.movieposterdb.com/22_04/1988/95953/s_95953_682863b8.jpg
Iron Man 3,89%,https://posters.movieposterdb.com/23_02/2013/4111326/s_iron-man-3-the-official-game-movie-poster_8be84d8e.jpg
Apollo 13,89%,https://posters.movieposterdb.com/13_11/1995/112384/s_112384_2da3fad0.jpg
Star Wars: Episode VI - Return of the Jedi,89%,https://posters.movieposterdb.com/09_02/1983/86190/s_86190_358f68cd.jpg
The Lord of the Rings: The Fellowship of the Ring,88%,https://posters.movieposterdb.com/04_12/2001/0120737/s_166_0120737_158c8914.jpg
Toy Story 3,88%,https://posters.movieposterdb.com/10_07/2010/435761/s_435761_ddef4583.jpg
The Dark Knight Rises,88%,https://posters.movieposterdb.com/21_06/2012/1345836/s_1345836_429edb63.jpg
Ferris Bueller's Day Off,88%,https://posters.movieposterdb.com/11_07/1986/91042/s_91042_54be7385.jpg
Goodfellas,87%,https://posters.movieposterdb.com/05_09/1990/0099685/s_54529_0099685_307a5bd2.jpg
Harry Potter and the Prisoner of Azkaban,87%,https://posters.movieposterdb.com/22_12/2004/414084/s_harry-potter-and-the-prisoner-of-azkaban-movie-poster_f5b63610.jpg
The Terminator,87%,https://posters.movieposterdb.com/22_11/1991/301928/s_the-terminator-movie-poster_c32bbde4.jpg
Pulp Fiction,87%,https://posters.movieposterdb.com/07_10/1994/110912/s_110912_55345443.jpg
The Incredibles,87%,https://posters.movieposterdb.com/22_12/2004/433576/s_the-incredibles-movie-poster_e5530c62.jpg
Top Gun,87%,https://posters.movieposterdb.com/08_02/1986/92099/s_92099_c621f474.jpg
The Avengers,87%,https://posters.movieposterdb.com/20_10/2012/848228/s_848228_9bc5bc2a.jpg
Gladiator,87%,https://posters.movieposterdb.com/08_12/2000/172495/s_172495_93f99923.jpg
Finding Dory,86%,https://posters.movieposterdb.com/20_09/2016/2277860/s_2277860_bccbd1f5.jpg
Spotlight,86%,https://posters.movieposterdb.com/20_01/2016/6222202/s_6222202_f4f64df4.jpg
Inception,86%,https://posters.movieposterdb.com/10_06/2010/1375666/s_1375666_07030c72.jpg
The Truman Show,86%,https://posters.movieposterdb.com/06_08/1998/0120382/s_127905_0120382_a04d6482.jpg
Titanic,86%,https://posters.movieposterdb.com/12_02/2012/1869152/s_1869152_5f3c644f.jpg
Shrek,86%,https://posters.movieposterdb.com/11_12/2001/126029/s_126029_cee44e30.jpg
Spider-Man: Into the Spider-Verse,85%,https://posters.movieposterdb.com/22_10/2018/4633694/s_spider-man-into-the-spider-verse-movie-poster_a7f62b30.jpeg
Moonlight,85%,https://posters.movieposterdb.com/22_12/2006/995736/s_moonlight-movie-poster_8db8aac4.jpg
Dances with Wolves,85%,https://posters.movieposterdb.com/07_12/1990/99348/s_99348_3a7a4aa1.jpg
Pretty Woman,84%,https://posters.movieposterdb.com/05_09/1990/0100405/s_54315_0100405_dac098d8.jpg
Big,84%,https://posters.movieposterdb.com/23_01/2011/2471264/s_big-big-man-movie-poster_599272c7.jpg
The Princess Bride,83%,https://posters.movieposterdb.com/23_01/1987/93779/s_the-princess-bride-movie-poster_eccb77ed.jpg
Spider-Man: Homecoming,83%,https://posters.movieposterdb.com/20_12/2016/2250912/s_2250912_56f3e4f2.jpg
Guardians of the Galaxy,82%,https://posters.movieposterdb.com/14_07/2014/2015381/s_2015381_2a13ec7d.jpg
Gremlins,82%,https://posters.movieposterdb.com/05_09/1984/0087363/s_51245_0087363_5bd0b8d4.jpg
Dirty Dancing,82%,https://posters.movieposterdb.com/22_11/1988/94450/s_dirty-dancing-movie-poster_8c28788d.jpg
Airplane!,82%,https://posters.movieposterdb.com/05_07/1980/0080339/s_26948_0080339_ab91757a.jpg
The Hobbit: An Unexpected Journey,81%,https://posters.movieposterdb.com/12_11/2012/903624/s_903624_294e4d80.jpg
Spider-Man,81%,https://posters.movieposterdb.com/22_10/2018/5807780/s_spider-man-movie-poster_3d784315.jpg
Independence Day,80%,https://posters.movieposterdb.com/22_11/1976/73165/s_independence-day-movie-poster_37e392f6.jpg
The Jungle Book,78%,https://posters.movieposterdb.com/23_01/2014/2226178/s_the-jungle-book-movie-poster_cf617974.jpg
Harry Potter and the Sorcerer's Stone,78%,https://posters.movieposterdb.com/13_02/2001/241527/s_241527_da927a3d.jpg
Finding Nemo,78%,https://posters.movieposterdb.com/22_12/2003/401422/s_finding-nemo-movie-poster_b4956c4d.jpg
Harry Potter and the Goblet of Fire,77%,https://posters.movieposterdb.com/22_12/2005/764644/s_harry-potter-and-the-goblet-of-fire-movie-poster_61b746f8.jpg
Pirates of the Caribbean: At World's End,77%,https://posters.movieposterdb.com/22_12/2007/1043740/s_pirates-of-the-caribbean-at-worlds-end-movie-poster_8639e52b.jpg
Wonder Woman,77%,https://posters.movieposterdb.com/05_08/1976/0074074/s_41747_0074074_c41cff46.jpg
Harry Potter and the Order of the Phoenix,76%,https://posters.movieposterdb.com/22_12/2007/944836/s_harry-potter-and-the-order-of-the-phoenix-movie-poster_33fe2717.jpg
Pirates of the Caribbean: The Curse of the Black Pearl,76%,https://posters.movieposterdb.com/10_01/2003/325980/s_325980_6a4da6c6.jpg
Harry Potter and the Chamber of Secrets,75%,https://posters.movieposterdb.com/23_01/2002/1454622/s_lego-creator-harry-potter-and-the-chamber-of-secrets-movie-poster_f3b41ca8.jpg
The Hunger Games: Catching Fire,74%,https://posters.movieposterdb.com/13_09/2013/1951264/s_1951264_8fb3bb2c.jpg
Blade Runner,74%,https://posters.movieposterdb.com/08_01/1982/83658/s_83658_d582fe4c.jpg
The Goonies,74%,https://posters.movieposterdb.com/23_01/1985/1289573/s_the-goonies-movie-poster_e254f692.jpg
Beauty and the Beast,74%,https://posters.movieposterdb.com/21_07/2018/9173998/s_9173998_ac06ab34.jpg
Despicable Me 2,74%,https://posters.movieposterdb.com/15_02/2013/1690953/s_1690953_473a6949.jpg
Scarface,73%,https://posters.movieposterdb.com/07_10/1983/86250/s_86250_047691bb.jpg
The Lost Boys,73%,https://posters.movieposterdb.com/22_11/1978/77045/s_the-lost-boys-movie-poster_19204c12.jpg
Indiana Jones and the Temple of Doom,71%,https://posters.movieposterdb.com/22_12/1985/481113/s_indiana-jones-and-the-temple-of-doom-movie-poster_25dd8cf4.jpg
The Matrix,71%,https://posters.movieposterdb.com/06_01/1999/0133093/s_77607_0133093_ab8bc972.jpg
Furious 7,71%,https://posters.movieposterdb.com/23_02/2015/5273616/s_furious-7-race-wars-movie-poster_86619778.jpg
Jumanji: Welcome to the Jungle,71%,https://posters.movieposterdb.com/20_02/2017/2283362/s_2283362_3bf15445.jpg
Guardians of the Galaxy Vol. 2,70%,https://posters.movieposterdb.com/20_08/2017/3896198/s_3896198_b002fe3d.jpg
Avengers: Age of Ultron,70%,https://posters.movieposterdb.com/15_02/2015/2395427/s_2395427_2037d14e.jpg
Avengers: Infinity War,70%,https://posters.movieposterdb.com/21_08/2018/4154756/s_4154756_422c1e98.jpg
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",69%,https://posters.movieposterdb.com/22_12/2005/776766/s_the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe-movie-poster_a5d6066f.jpg
Spider-Man 2,69%,https://posters.movieposterdb.com/22_12/2005/788227/s_spider-man-2-movie-poster_e85e11e4.jpg
Harry Potter and the Half-Blood Prince,69%,https://posters.movieposterdb.com/23_01/2009/1395738/s_harry-potter-and-the-half-blood-prince-movie-poster_39cf9af0.jpg
